Column1,WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
2020-07-12,2020-07-12,1000,minute.maid,17329,1,1.9,32925.1
2020-07-19,2020-07-19,1000,minute.maid,15246,1,2.14,32626.440000000002
2020-07-26,2020-07-26,1000,minute.maid,19581,1,2.19,42882.39
2020-08-02,2020-08-02,1000,minute.maid,10468,1,2.55,26693.399999999998
2020-08-09,2020-08-09,1000,minute.maid,9835,1,2.65,26062.75
2020-08-16,2020-08-16,1000,minute.maid,18708,1,2.39,44712.12
2020-08-23,2020-08-23,1000,minute.maid,12260,1,2.49,30527.4
2020-08-30,2020-08-30,1000,minute.maid,19982,1,2.12,42361.840000000004
2020-09-06,2020-09-06,1000,minute.maid,14533,1,2.65,38512.45
2020-09-13,2020-09-13,1000,minute.maid,19573,1,2.29,44822.17
2020-09-20,2020-09-20,1000,minute.maid,10380,1,1.91,19825.8
2020-09-27,2020-09-27,1000,minute.maid,16397,1,2.32,38041.04
2020-10-04,2020-10-04,1000,minute.maid,17302,1,2.08,35988.16
2020-10-11,2020-10-11,1000,minute.maid,11450,1,2.33,26678.5
2020-10-18,2020-10-18,1000,minute.maid,15860,1,2.24,35526.4
2020-10-25,2020-10-25,1000,minute.maid,19169,1,2.08,39871.520000000004
2020-11-01,2020-11-01,1000,minute.maid,16379,1,2.15,35214.85
2020-11-08,2020-11-08,1000,minute.maid,16347,1,2.06,33674.82
2020-11-15,2020-11-15,1000,minute.maid,14607,1,1.95,28483.649999999998
2020-11-22,2020-11-22,1000,minute.maid,10604,1,2.08,22056.32
2020-11-29,2020-11-29,1000,minute.maid,9036,1,2.49,22499.640000000003
2020-12-06,2020-12-06,1000,minute.maid,19073,1,2.5,47682.5
2020-12-13,2020-12-13,1000,minute.maid,15642,1,2.51,39261.42
2020-12-20,2020-12-20,1000,minute.maid,14185,1,2.11,29930.35
2020-12-27,2020-12-27,1000,minute.maid,10569,1,2.05,21666.449999999997
2020-06-14,2020-06-14,1000,tropicana,17193,1,2.56,44014.08
2020-06-21,2020-06-21,1000,tropicana,11852,1,2.3,27259.6
2020-06-28,2020-06-28,1000,tropicana,16254,1,2.47,40147.380000000005
2020-07-05,2020-07-05,1000,tropicana,15895,1,1.92,30518.399999999998
2020-07-12,2020-07-12,1000,tropicana,17699,1,2.64,46725.36
2020-07-19,2020-07-19,1000,tropicana,17837,1,2.26,40311.619999999995
2020-07-26,2020-07-26,1000,tropicana,13193,1,1.97,25990.21
2020-08-02,2020-08-02,1000,tropicana,19628,1,2.02,39648.56
2020-08-09,2020-08-09,1000,tropicana,17984,1,2.2,39564.8
2020-08-16,2020-08-16,1000,tropicana,11700,1,2.03,23750.999999999996
2020-08-23,2020-08-23,1000,tropicana,9329,1,2.01,18751.289999999997
2020-08-30,2020-08-30,1000,tropicana,14646,1,2.1,30756.600000000002
2020-09-06,2020-09-06,1000,tropicana,15849,1,2.29,36294.21
2020-09-13,2020-09-13,1000,tropicana,16894,1,1.9,32098.6
2020-09-20,2020-09-20,1000,tropicana,9921,1,2.53,25100.129999999997
2020-09-27,2020-09-27,1000,tropicana,14009,1,2.28,31940.519999999997
2020-10-04,2020-10-04,1000,tropicana,15834,1,2.07,32776.38
2020-10-11,2020-10-11,1000,tropicana,12060,1,2.18,26290.800000000003
2020-10-18,2020-10-18,1000,tropicana,19003,1,2.62,49787.86
2020-10-25,2020-10-25,1000,tropicana,15860,1,2.02,32037.2
2020-11-01,2020-11-01,1000,tropicana,16150,1,2.29,36983.5
2020-11-08,2020-11-08,1000,tropicana,14904,1,2.44,36365.76
2020-11-15,2020-11-15,1000,tropicana,9296,1,2.62,24355.52
2020-11-22,2020-11-22,1000,tropicana,10031,1,2.24,22469.440000000002
2020-11-29,2020-11-29,1000,tropicana,19733,1,2.12,41833.96
2020-12-06,2020-12-06,1000,tropicana,17865,1,2.52,45019.8
2020-12-13,2020-12-13,1000,tropicana,13373,1,2.25,30089.25
2020-12-20,2020-12-20,1000,tropicana,10173,1,2.64,26856.72
2020-12-27,2020-12-27,1000,tropicana,17338,1,2.35,40744.3
2020-06-14,2020-06-14,1001,dominicks,12383,1,2.3,28480.899999999998
2020-06-21,2020-06-21,1001,dominicks,19572,1,2.25,44037.0
2020-06-28,2020-06-28,1001,dominicks,13737,1,2.18,29946.660000000003
2020-07-05,2020-07-05,1001,dominicks,11989,1,2.08,24937.120000000003
2020-07-12,2020-07-12,1001,dominicks,17410,1,2.59,45091.899999999994
2020-07-19,2020-07-19,1001,dominicks,16838,1,2.19,36875.22
2020-07-26,2020-07-26,1001,dominicks,10877,1,2.42,26322.34
2020-08-02,2020-08-02,1001,dominicks,10825,1,2.65,28686.25
2020-08-09,2020-08-09,1001,dominicks,15426,1,2.67,41187.42
2020-08-16,2020-08-16,1001,dominicks,11622,1,2.24,26033.280000000002
2020-08-23,2020-08-23,1001,dominicks,18309,1,2.07,37899.63
2020-08-30,2020-08-30,1001,dominicks,13555,1,2.33,31583.15
2020-09-06,2020-09-06,1001,dominicks,18740,1,2.49,46662.600000000006
2020-09-13,2020-09-13,1001,dominicks,14647,1,2.45,35885.15
2020-09-20,2020-09-20,1001,dominicks,11637,1,2.36,27463.32
2020-09-27,2020-09-27,1001,dominicks,13231,1,2.37,31357.47
2020-10-04,2020-10-04,1001,dominicks,9831,1,2.3,22611.3
2020-10-11,2020-10-11,1001,dominicks,15151,1,2.1,31817.100000000002
2020-10-18,2020-10-18,1001,dominicks,13215,1,2.53,33433.95
2020-10-25,2020-10-25,1001,dominicks,17391,1,2.38,41390.58
2020-11-01,2020-11-01,1001,dominicks,14562,1,2.57,37424.34
2020-11-08,2020-11-08,1001,dominicks,19233,1,2.03,39042.99
2020-11-15,2020-11-15,1001,dominicks,15531,1,2.66,41312.46
2020-11-22,2020-11-22,1001,dominicks,13650,1,2.25,30712.5
2020-11-29,2020-11-29,1001,dominicks,17185,1,2.03,34885.549999999996
2020-12-06,2020-12-06,1001,dominicks,17472,1,2.16,37739.520000000004
2020-12-13,2020-12-13,1001,dominicks,17450,1,2.31,40309.5
2020-12-20,2020-12-20,1001,dominicks,19977,1,2.08,41552.16
2020-12-27,2020-12-27,1001,dominicks,13402,1,2.02,27072.04
2020-06-14,2020-06-14,1001,minute.maid,15718,1,2.3,36151.399999999994
2020-06-21,2020-06-21,1001,minute.maid,13738,1,2.68,36817.840000000004
2020-06-28,2020-06-28,1001,minute.maid,16362,1,2.11,34523.82
2020-07-05,2020-07-05,1001,minute.maid,19978,1,2.23,44550.94
2020-07-12,2020-07-12,1001,minute.maid,9369,1,2.25,21080.25
2020-07-19,2020-07-19,1001,minute.maid,17635,1,2.17,38267.95
2020-07-26,2020-07-26,1001,minute.maid,10865,1,2.05,22273.249999999996
2020-08-02,2020-08-02,1001,minute.maid,16234,1,2.25,36526.5
2020-08-09,2020-08-09,1001,minute.maid,9661,1,2.25,21737.25
2020-08-16,2020-08-16,1001,minute.maid,18885,1,2.64,49856.4
2020-08-23,2020-08-23,1001,minute.maid,13445,1,2.59,34822.549999999996
2020-08-30,2020-08-30,1001,minute.maid,18730,1,2.1,39333.0
2020-09-06,2020-09-06,1001,minute.maid,18488,1,1.9,35127.2
2020-09-13,2020-09-13,1001,minute.maid,12771,1,2.49,31799.790000000005
2020-09-20,2020-09-20,1001,minute.maid,18887,1,2.43,45895.41
2020-09-27,2020-09-27,1001,minute.maid,11166,1,2.49,27803.340000000004
2020-10-04,2020-10-04,1001,minute.maid,12193,1,2.62,31945.66
2020-10-11,2020-10-11,1001,minute.maid,9394,1,2.46,23109.239999999998
2020-10-18,2020-10-18,1001,minute.maid,17374,1,2.33,40481.42
2020-10-25,2020-10-25,1001,minute.maid,9524,1,2.56,24381.44
2020-11-01,2020-11-01,1001,minute.maid,17946,1,2.64,47377.44
2020-11-08,2020-11-08,1001,minute.maid,9206,1,2.26,20805.559999999998
2020-11-15,2020-11-15,1001,minute.maid,13018,1,2.39,31113.02
2020-11-22,2020-11-22,1001,minute.maid,11049,1,2.23,24639.27
2020-11-29,2020-11-29,1001,minute.maid,19814,1,2.32,45968.479999999996
2020-12-06,2020-12-06,1001,minute.maid,18318,1,2.45,44879.100000000006
2020-12-13,2020-12-13,1001,minute.maid,16878,1,2.62,44220.36
2020-12-20,2020-12-20,1001,minute.maid,17531,1,1.91,33484.21
2020-12-27,2020-12-27,1001,minute.maid,12096,1,2.4,29030.399999999998
2020-06-14,2020-06-14,1001,tropicana,9965,1,2.1,20926.5
2020-06-21,2020-06-21,1001,tropicana,10483,1,2.46,25788.18
2020-06-28,2020-06-28,1001,tropicana,13436,1,2.51,33724.36
2020-07-05,2020-07-05,1001,tropicana,15097,1,2.37,35779.89
2020-07-12,2020-07-12,1001,tropicana,13383,1,2.44,32654.52
2020-07-19,2020-07-19,1001,tropicana,11379,1,2.14,24351.06
2020-07-26,2020-07-26,1001,tropicana,13470,1,2.03,27344.1
2020-08-02,2020-08-02,1001,tropicana,14911,1,2.02,30120.22
2020-08-09,2020-08-09,1001,tropicana,13403,1,2.35,31497.050000000003
2020-08-16,2020-08-16,1001,tropicana,17198,1,2.05,35255.899999999994
2020-08-23,2020-08-23,1001,tropicana,12001,1,2.61,31322.609999999997
2020-08-30,2020-08-30,1001,tropicana,17995,1,2.4,43188.0
2020-09-06,2020-09-06,1001,tropicana,9574,1,2.43,23264.820000000003
2020-09-13,2020-09-13,1001,tropicana,16400,1,2.18,35752.0
2020-09-20,2020-09-20,1001,tropicana,13623,1,2.41,32831.43
2020-09-27,2020-09-27,1001,tropicana,18161,1,1.93,35050.729999999996
2020-10-04,2020-10-04,1001,tropicana,12004,1,2.03,24368.12
2020-10-11,2020-10-11,1001,tropicana,14116,1,2.62,36983.92
2020-10-18,2020-10-18,1001,tropicana,17299,1,2.45,42382.55
2020-10-25,2020-10-25,1001,tropicana,16466,1,2.63,43305.58
2020-11-01,2020-11-01,1001,tropicana,15893,1,2.21,35123.53
2020-11-08,2020-11-08,1001,tropicana,12101,1,2.55,30857.55
2020-11-15,2020-11-15,1001,tropicana,12947,1,2.0,25894.0
2020-11-22,2020-11-22,1001,tropicana,15558,1,1.94,30182.52
2020-11-29,2020-11-29,1001,tropicana,9938,1,2.45,24348.100000000002
2020-12-06,2020-12-06,1001,tropicana,18735,1,2.03,38032.049999999996
2020-12-13,2020-12-13,1001,tropicana,13319,1,2.11,28103.09
2020-12-20,2020-12-20,1001,tropicana,13293,1,2.23,29643.39
2020-12-27,2020-12-27,1001,tropicana,19191,1,2.28,43755.479999999996
2020-06-14,2020-06-14,1002,dominicks,17635,1,1.96,34564.6
2020-06-21,2020-06-21,1002,dominicks,16251,1,2.32,37702.32
2020-06-28,2020-06-28,1002,dominicks,16366,1,2.2,36005.200000000004
2020-07-05,2020-07-05,1002,dominicks,13610,1,1.98,26947.8
2020-07-12,2020-07-12,1002,dominicks,16684,1,2.01,33534.84
2020-07-19,2020-07-19,1002,dominicks,10260,1,2.41,24726.600000000002
2020-07-26,2020-07-26,1002,dominicks,11748,1,2.6,30544.8
2020-08-02,2020-08-02,1002,dominicks,11482,1,2.25,25834.5
2020-08-09,2020-08-09,1002,dominicks,16767,1,2.26,37893.42
2020-08-16,2020-08-16,1002,dominicks,19921,1,2.66,52989.86
2020-08-23,2020-08-23,1002,dominicks,15623,1,2.0,31246.0
2020-08-30,2020-08-30,1002,dominicks,14730,1,2.6,38298.0
2020-09-06,2020-09-06,1002,dominicks,13049,1,2.62,34188.380000000005
2020-09-13,2020-09-13,1002,dominicks,17331,1,2.62,45407.22
2020-09-20,2020-09-20,1002,dominicks,11402,1,2.05,23374.1
2020-09-27,2020-09-27,1002,dominicks,18619,1,2.16,40217.04
2020-10-04,2020-10-04,1002,dominicks,9071,1,2.45,22223.95
2020-10-11,2020-10-11,1002,dominicks,13331,1,2.51,33460.81
2020-10-18,2020-10-18,1002,dominicks,11799,1,2.01,23715.989999999998
2020-10-25,2020-10-25,1002,dominicks,17602,1,2.37,41716.740000000005
2020-11-01,2020-11-01,1002,dominicks,12883,1,2.12,27311.960000000003
2020-11-08,2020-11-08,1002,dominicks,12475,1,2.09,26072.75
2020-11-15,2020-11-15,1002,dominicks,15121,1,1.96,29637.16
2020-11-22,2020-11-22,1002,dominicks,16079,1,2.61,41966.189999999995
2020-11-29,2020-11-29,1002,dominicks,19394,1,2.61,50618.34
2020-12-06,2020-12-06,1002,dominicks,9443,1,2.42,22852.059999999998
2020-12-13,2020-12-13,1002,dominicks,12501,1,1.9,23751.899999999998
2020-12-20,2020-12-20,1002,dominicks,14314,1,1.96,28055.44
2020-12-27,2020-12-27,1002,dominicks,14759,1,2.35,34683.65
2020-06-14,2020-06-14,1002,minute.maid,12172,1,2.24,27265.280000000002
2020-06-21,2020-06-21,1002,minute.maid,18172,1,2.3,41795.6
2020-06-28,2020-06-28,1002,minute.maid,11389,1,2.3,26194.699999999997
2020-07-05,2020-07-05,1002,minute.maid,10464,1,2.18,22811.52
2020-07-12,2020-07-12,1002,minute.maid,18733,1,2.55,47769.149999999994
2020-07-19,2020-07-19,1002,minute.maid,13459,1,2.5,33647.5
2020-07-26,2020-07-26,1002,minute.maid,13927,1,2.39,33285.53
2020-08-02,2020-08-02,1002,minute.maid,18947,1,2.01,38083.469999999994
2020-08-09,2020-08-09,1002,minute.maid,15630,1,2.17,33917.1
2020-08-16,2020-08-16,1002,minute.maid,11574,1,2.43,28124.820000000003
2020-08-23,2020-08-23,1002,minute.maid,11161,1,1.95,21763.95
2020-08-30,2020-08-30,1002,minute.maid,12654,1,2.41,30496.140000000003
2020-09-06,2020-09-06,1002,minute.maid,9759,1,2.13,20786.67
2020-09-13,2020-09-13,1002,minute.maid,19426,1,2.59,50313.34
2020-09-20,2020-09-20,1002,minute.maid,17467,1,2.28,39824.759999999995
2020-09-27,2020-09-27,1002,minute.maid,19069,1,2.14,40807.66
2020-10-04,2020-10-04,1002,minute.maid,11563,1,2.54,29370.02
2020-10-11,2020-10-11,1002,minute.maid,16205,1,2.23,36137.15
2020-10-18,2020-10-18,1002,minute.maid,12798,1,2.45,31355.100000000002
2020-10-25,2020-10-25,1002,minute.maid,13024,1,2.35,30606.4
2020-11-01,2020-11-01,1002,minute.maid,14346,1,2.51,36008.46
2020-11-08,2020-11-08,1002,minute.maid,9140,1,2.69,24586.6
2020-11-15,2020-11-15,1002,minute.maid,15505,1,1.99,30854.95
2020-11-22,2020-11-22,1002,minute.maid,15686,1,1.9,29803.399999999998
2020-11-29,2020-11-29,1002,minute.maid,15099,1,2.17,32764.829999999998
2020-12-06,2020-12-06,1002,minute.maid,17521,1,2.04,35742.840000000004
2020-12-13,2020-12-13,1002,minute.maid,9209,1,2.24,20628.160000000003
2020-12-20,2020-12-20,1002,minute.maid,19135,1,2.04,39035.4
2020-12-27,2020-12-27,1002,minute.maid,17579,1,2.05,36036.95
2020-06-14,2020-06-14,1002,tropicana,12402,1,1.99,24679.98
2020-06-21,2020-06-21,1002,tropicana,18607,1,2.49,46331.43000000001
2020-06-28,2020-06-28,1002,tropicana,13990,1,2.64,36933.6
2020-07-05,2020-07-05,1002,tropicana,19018,1,2.6,49446.8
2020-07-12,2020-07-12,1002,tropicana,9714,1,1.98,19233.72
2020-07-19,2020-07-19,1002,tropicana,13044,1,2.12,27653.280000000002
2020-07-26,2020-07-26,1002,tropicana,9653,1,2.22,21429.660000000003
2020-08-02,2020-08-02,1002,tropicana,15222,1,2.1,31966.2
2020-08-09,2020-08-09,1002,tropicana,13373,1,2.11,28217.03
2020-08-16,2020-08-16,1002,tropicana,9184,1,2.15,19745.6
2020-08-23,2020-08-23,1002,tropicana,17922,1,2.49,44625.780000000006
2020-08-30,2020-08-30,1002,tropicana,17467,1,1.95,34060.65
2020-09-06,2020-09-06,1002,tropicana,11676,1,1.96,22884.96
2020-09-13,2020-09-13,1002,tropicana,16236,1,2.16,35069.76
2020-09-20,2020-09-20,1002,tropicana,17790,1,2.07,36825.299999999996
2020-09-27,2020-09-27,1002,tropicana,18769,1,2.56,48048.64
2020-10-04,2020-10-04,1002,tropicana,9458,1,2.07,19578.059999999998
2020-10-11,2020-10-11,1002,tropicana,14955,1,2.19,32751.45
2020-10-18,2020-10-18,1002,tropicana,10539,1,2.38,25082.82
2020-10-25,2020-10-25,1002,tropicana,11443,1,1.92,21970.559999999998
2020-11-01,2020-11-01,1002,tropicana,10935,1,2.05,22416.749999999996
2020-11-08,2020-11-08,1002,tropicana,17220,1,2.2,37884.0
2020-11-15,2020-11-15,1002,tropicana,15878,1,1.93,30644.539999999997
2020-11-22,2020-11-22,1002,tropicana,19423,1,2.47,47974.810000000005
2020-11-29,2020-11-29,1002,tropicana,13427,1,2.58,34641.66
2020-12-06,2020-12-06,1002,tropicana,12177,1,2.22,27032.940000000002
2020-12-13,2020-12-13,1002,tropicana,10908,1,2.14,23343.120000000003
2020-12-20,2020-12-20,1002,tropicana,17859,1,2.15,38396.85
2020-12-27,2020-12-27,1002,tropicana,14477,1,2.63,38074.51
2020-06-14,2020-06-14,1003,dominicks,18970,1,2.39,45338.3
2020-06-21,2020-06-21,1003,dominicks,11152,1,2.33,25984.16
2020-06-28,2020-06-28,1003,dominicks,10257,1,2.48,25437.36
2020-07-05,2020-07-05,1003,dominicks,11041,1,2.1,23186.100000000002
2020-07-12,2020-07-12,1003,dominicks,14360,1,2.29,32884.4
2020-07-19,2020-07-19,1003,dominicks,14017,1,2.25,31538.25
2020-07-26,2020-07-26,1003,dominicks,9427,1,2.08,19608.16
2020-08-02,2020-08-02,1003,dominicks,17622,1,2.46,43350.12
2020-08-09,2020-08-09,1003,dominicks,10121,1,1.97,19938.37
2020-08-16,2020-08-16,1003,dominicks,9379,1,2.29,21477.91
2020-08-23,2020-08-23,1003,dominicks,18726,1,2.27,42508.02
2020-08-30,2020-08-30,1003,dominicks,9732,1,2.58,25108.56
2020-09-06,2020-09-06,1003,dominicks,15606,1,2.56,39951.36
2020-09-13,2020-09-13,1003,dominicks,16489,1,1.9,31329.1
2020-09-20,2020-09-20,1003,dominicks,15857,1,1.96,31079.72
2020-09-27,2020-09-27,1003,dominicks,18395,1,2.3,42308.5
2020-10-04,2020-10-04,1003,dominicks,16907,1,2.6,43958.200000000004
2020-10-11,2020-10-11,1003,dominicks,18053,1,2.63,47479.39
2020-10-18,2020-10-18,1003,dominicks,11706,1,2.28,26689.679999999997
2020-10-25,2020-10-25,1003,dominicks,18561,1,2.05,38050.049999999996
2020-11-01,2020-11-01,1003,dominicks,11872,1,2.09,24812.48
2020-11-08,2020-11-08,1003,dominicks,18008,1,2.58,46460.64
2020-11-15,2020-11-15,1003,dominicks,10124,1,2.25,22779.0
2020-11-22,2020-11-22,1003,dominicks,19082,1,2.27,43316.14
2020-11-29,2020-11-29,1003,dominicks,13728,1,2.62,35967.36
2020-12-06,2020-12-06,1003,dominicks,16356,1,2.49,40726.44
2020-12-13,2020-12-13,1003,dominicks,12160,1,2.05,24927.999999999996
2020-12-20,2020-12-20,1003,dominicks,16407,1,1.93,31665.51
2020-12-27,2020-12-27,1003,dominicks,16514,1,2.62,43266.68
2020-06-14,2020-06-14,1003,minute.maid,10437,1,2.63,27449.309999999998
2020-06-21,2020-06-21,1003,minute.maid,12556,1,2.58,32394.48
2020-06-28,2020-06-28,1003,minute.maid,14671,1,2.58,37851.18
2020-07-05,2020-07-05,1003,minute.maid,16357,1,2.52,41219.64
2020-07-12,2020-07-12,1003,minute.maid,11504,1,2.22,25538.88
2020-07-19,2020-07-19,1003,minute.maid,19072,1,2.16,41195.520000000004
2020-07-26,2020-07-26,1003,minute.maid,11503,1,2.68,30828.04
2020-08-02,2020-08-02,1003,minute.maid,18257,1,2.65,48381.049999999996
2020-08-09,2020-08-09,1003,minute.maid,16773,1,2.07,34720.11
2020-08-16,2020-08-16,1003,minute.maid,15512,1,2.25,34902.0
2020-08-23,2020-08-23,1003,minute.maid,15361,1,2.69,41321.09
2020-08-30,2020-08-30,1003,minute.maid,16661,1,1.98,32988.78
2020-09-06,2020-09-06,1003,minute.maid,18018,1,2.2,39639.600000000006
2020-09-13,2020-09-13,1003,minute.maid,19088,1,1.95,37221.6
2020-09-20,2020-09-20,1003,minute.maid,15137,1,2.63,39810.31
2020-09-27,2020-09-27,1003,minute.maid,9633,1,2.17,20903.61
2020-10-04,2020-10-04,1003,minute.maid,17419,1,1.93,33618.67
2020-10-11,2020-10-11,1003,minute.maid,17815,1,2.36,42043.399999999994
2020-10-18,2020-10-18,1003,minute.maid,18553,1,2.34,43414.02
2020-10-25,2020-10-25,1003,minute.maid,16684,1,2.27,37872.68
2020-11-01,2020-11-01,1003,minute.maid,17156,1,2.63,45120.28
2020-11-08,2020-11-08,1003,minute.maid,10134,1,2.16,21889.440000000002
2020-11-15,2020-11-15,1003,minute.maid,18355,1,2.52,46254.6
2020-11-22,2020-11-22,1003,minute.maid,11155,1,2.02,22533.1
2020-11-29,2020-11-29,1003,minute.maid,11046,1,2.56,28277.760000000002
2020-12-06,2020-12-06,1003,minute.maid,19825,1,2.55,50553.75
2020-12-13,2020-12-13,1003,minute.maid,18429,1,2.52,46441.08
2020-12-20,2020-12-20,1003,minute.maid,13114,1,2.49,32653.860000000004
2020-12-27,2020-12-27,1003,minute.maid,17643,1,2.44,43048.92
2020-06-14,2020-06-14,1003,tropicana,9289,1,2.37,22014.93
2020-06-21,2020-06-21,1003,tropicana,11318,1,2.0,22636.0
2020-06-28,2020-06-28,1003,tropicana,12194,1,2.64,32192.16
2020-07-05,2020-07-05,1003,tropicana,12971,1,2.05,26590.55
2020-07-12,2020-07-12,1003,tropicana,17957,1,2.62,47047.340000000004
2020-07-19,2020-07-19,1003,tropicana,14179,1,2.05,29066.949999999997
2020-07-26,2020-07-26,1003,tropicana,10473,1,2.33,24402.09
2020-08-02,2020-08-02,1003,tropicana,13452,1,2.03,27307.559999999998
2020-08-09,2020-08-09,1003,tropicana,9035,1,2.11,19063.85
2020-08-16,2020-08-16,1003,tropicana,13155,1,2.18,28677.9
2020-08-23,2020-08-23,1003,tropicana,19392,1,2.49,48286.08
2020-08-30,2020-08-30,1003,tropicana,19051,1,2.25,42864.75
2020-09-06,2020-09-06,1003,tropicana,9707,1,2.45,23782.15
2020-09-13,2020-09-13,1003,tropicana,18368,1,2.13,39123.84
2020-09-20,2020-09-20,1003,tropicana,11113,1,2.16,24004.08
2020-09-27,2020-09-27,1003,tropicana,12660,1,2.0,25320.0
2020-10-04,2020-10-04,1003,tropicana,19858,1,1.93,38325.94
2020-10-11,2020-10-11,1003,tropicana,18656,1,1.94,36192.64
2020-10-18,2020-10-18,1003,tropicana,12824,1,2.43,31162.320000000003
2020-10-25,2020-10-25,1003,tropicana,14887,1,2.68,39897.16
2020-11-01,2020-11-01,1003,tropicana,9730,1,2.47,24033.100000000002
2020-11-08,2020-11-08,1003,tropicana,16977,1,2.39,40575.03
2020-11-15,2020-11-15,1003,tropicana,13686,1,2.56,35036.16
2020-11-22,2020-11-22,1003,tropicana,9704,1,2.67,25909.68
2020-11-29,2020-11-29,1003,tropicana,18979,1,2.1,39855.9
2020-12-06,2020-12-06,1003,tropicana,14423,1,2.49,35913.270000000004
2020-12-13,2020-12-13,1003,tropicana,19031,1,2.41,45864.71
2020-12-20,2020-12-20,1003,tropicana,19655,1,2.09,41078.95
2020-12-27,2020-12-27,1003,tropicana,9123,1,2.27,20709.21
2020-06-14,2020-06-14,1004,dominicks,13856,1,2.26,31314.559999999998
2020-06-21,2020-06-21,1004,dominicks,19197,1,2.23,42809.31
2020-06-28,2020-06-28,1004,dominicks,9831,1,2.13,20940.03
2020-07-05,2020-07-05,1004,dominicks,16593,1,2.1,34845.3
2020-07-12,2020-07-12,1004,dominicks,19993,1,2.51,50182.42999999999
2020-07-19,2020-07-19,1004,dominicks,10813,1,2.01,21734.129999999997
2020-07-26,2020-07-26,1004,dominicks,11897,1,1.97,23437.09
2020-08-02,2020-08-02,1004,dominicks,19699,1,2.04,40185.96
2020-08-09,2020-08-09,1004,dominicks,12170,1,2.15,26165.5
2020-08-16,2020-08-16,1004,dominicks,13348,1,2.29,30566.920000000002
2020-08-23,2020-08-23,1004,dominicks,18745,1,2.61,48924.45
2020-08-30,2020-08-30,1004,dominicks,14526,1,2.22,32247.72
2020-09-06,2020-09-06,1004,dominicks,19465,1,1.99,38735.35
2020-09-13,2020-09-13,1004,dominicks,10918,1,2.19,23910.42
2020-09-20,2020-09-20,1004,dominicks,13955,1,2.5,34887.5
2020-09-27,2020-09-27,1004,dominicks,9486,1,2.31,21912.66
2020-10-04,2020-10-04,1004,dominicks,17674,1,2.55,45068.7
2020-10-11,2020-10-11,1004,dominicks,10252,1,1.93,19786.36
2020-10-18,2020-10-18,1004,dominicks,17325,1,2.34,40540.5
2020-10-25,2020-10-25,1004,dominicks,13585,1,2.08,28256.8
2020-11-01,2020-11-01,1004,dominicks,12859,1,2.66,34204.94
2020-11-08,2020-11-08,1004,dominicks,15038,1,2.35,35339.3
2020-11-15,2020-11-15,1004,dominicks,9238,1,1.92,17736.96
2020-11-22,2020-11-22,1004,dominicks,14858,1,2.0,29716.0
2020-11-29,2020-11-29,1004,dominicks,9514,1,2.47,23499.58
2020-12-06,2020-12-06,1004,dominicks,19931,1,2.27,45243.37
